lon,lat,date,analysis_date,n_z_valid_T,dataset
-95.370277,20.023581,2024-01-01,20240102,41,qcobs_tsisv2
-81.471931,23.961260,2024-01-01,20240102,28,qcobs_tsisv2
-88.512817,27.857901,2024-01-01,20240102,41,qcobs_tsisv2
-83.503830,24.421080,2024-01-01,20240102,26,qcobs_tsisv2
-87.769043,28.578320,2024-01-01,20240102,41,qcobs_tsisv2
-85.158417,24.771400,2024-01-01,20240102,40,qcobs_tsisv2
-86.720192,27.063959,2024-01-01,20240102,41,qcobs_tsisv2
-86.573151,25.027590,2024-01-01,20240102,38,qcobs_tsisv2
-89.423317,24.513710,2024-01-01,20240102,41,qcobs_tsisv2
-86.696617,25.340731,2024-01-01,20240102,41,qcobs_tsisv2
-83.979012,23.918091,2024-01-01,20240102,40,qcobs_tsisv2
-87.660797,25.863800,2024-01-01,20240102,41,qcobs_tsisv2
-87.526871,25.760590,2024-01-01,20240102,41,qcobs_tsisv2
-95.694000,21.275801,2024-01-01,20240102,39,qcobs_tsisv2
-95.935120,24.113070,2024-01-02,20240102,41,qcobs_tsisv2
-95.396187,23.190901,2024-01-02,20240102,41,qcobs_tsisv2
-86.038010,24.839750,2024-01-02,20240102,41,qcobs_tsisv2
-84.639801,25.708080,2024-01-02,20240102,28,qcobs_tsisv2
-89.996269,25.772070,2024-01-02,20240102,41,qcobs_tsisv2
-87.826973,25.296721,2024-01-02,20240102,41,qcobs_tsisv2
-87.592941,27.455770,2024-01-02,20240102,41,qcobs_tsisv2
-86.020988,24.123610,2024-01-02,20240102,41,qcobs_tsisv2
-83.409203,23.202311,2024-01-02,20240102,41,qcobs_tsisv2
-95.325630,26.518009,2024-01-03,20240102,37,qcobs_tsisv2
-86.281601,23.750610,2024-01-03,20240102,34,qcobs_tsisv2
-87.631287,25.571751,2024-01-03,20240102,41,qcobs_tsisv2
-88.900360,28.319639,2024-01-03,20240102,33,qcobs_tsisv2
-86.955811,26.918350,2024-01-03,20240102,41,qcobs_tsisv2
-90.474319,25.511520,2024-01-03,20240102,41,qcobs_tsisv2
-85.818352,26.464451,2024-01-04,20240102,41,qcobs_tsisv2
-83.686989,24.523001,2024-01-04,20240102,26,qcobs_tsisv2
-87.425323,28.503281,2024-01-04,20240102,36,qcobs_tsisv2
-91.909409,25.991751,2024-01-05,20240102,41,qcobs_tsisv2
-88.633041,28.445560,2024-01-05,20240102,35,qcobs_tsisv2
-85.473129,24.753269,2024-01-05,20240102,41,qcobs_tsisv2
-84.600380,25.568821,2024-01-05,20240102,29,qcobs_tsisv2
-81.468063,23.958599,2024-01-06,20240102,30,qcobs_tsisv2
-88.554047,27.799089,2024-01-06,20240102,41,qcobs_tsisv2
-87.753601,28.596189,2024-01-06,20240102,41,qcobs_tsisv2
-85.048958,24.732790,2024-01-06,20240102,40,qcobs_tsisv2
-86.652870,26.988380,2024-01-06,20240102,41,qcobs_tsisv2
-89.275391,24.696180,2024-01-06,20240102,41,qcobs_tsisv2
-86.924026,25.254570,2024-01-06,20240102,41,qcobs_tsisv2
-83.729553,23.710871,2024-01-06,20240102,40,qcobs_tsisv2
-87.398262,26.069559,2024-01-06,20240102,41,qcobs_tsisv2
-87.346024,25.967520,2024-01-06,20240102,41,qcobs_tsisv2
-95.370277,20.023581,2024-01-01,20240103,41,qcobs_tsisv2
-81.471931,23.961260,2024-01-01,20240103,31,qcobs_tsisv2
-88.512817,27.857901,2024-01-01,20240103,41,qcobs_tsisv2
-83.503830,24.421080,2024-01-01,20240103,25,qcobs_tsisv2
-87.769043,28.578320,2024-01-01,20240103,41,qcobs_tsisv2
-85.158417,24.771400,2024-01-01,20240103,40,qcobs_tsisv2
-86.720192,27.063959,2024-01-01,20240103,41,qcobs_tsisv2
-86.573151,25.027590,2024-01-01,20240103,38,qcobs_tsisv2
-89.423317,24.513710,2024-01-01,20240103,41,qcobs_tsisv2
-86.696617,25.340731,2024-01-01,20240103,41,qcobs_tsisv2
-83.979012,23.918091,2024-01-01,20240103,40,qcobs_tsisv2
-87.660797,25.863800,2024-01-01,20240103,41,qcobs_tsisv2
-87.526871,25.760590,2024-01-01,20240103,41,qcobs_tsisv2
-95.694000,21.275801,2024-01-01,20240103,39,qcobs_tsisv2
-95.935120,24.113070,2024-01-02,20240103,41,qcobs_tsisv2
-95.396187,23.190901,2024-01-02,20240103,41,qcobs_tsisv2
-86.038010,24.839750,2024-01-02,20240103,41,qcobs_tsisv2
-84.639801,25.708080,2024-01-02,20240103,28,qcobs_tsisv2
-89.996269,25.772070,2024-01-02,20240103,41,qcobs_tsisv2
-87.826973,25.296721,2024-01-02,20240103,41,qcobs_tsisv2
-87.592941,27.455770,2024-01-02,20240103,41,qcobs_tsisv2
-86.020988,24.123610,2024-01-02,20240103,41,qcobs_tsisv2
-83.409203,23.202311,2024-01-02,20240103,41,qcobs_tsisv2
-95.325630,26.518009,2024-01-03,20240103,37,qcobs_tsisv2
-86.281601,23.750610,2024-01-03,20240103,34,qcobs_tsisv2
-87.631287,25.571751,2024-01-03,20240103,41,qcobs_tsisv2
-88.900360,28.319639,2024-01-03,20240103,33,qcobs_tsisv2
-86.955811,26.918350,2024-01-03,20240103,41,qcobs_tsisv2
